fire_category,1,2,3,4,5,6,7,8,9,10,11,12
Agricultural,0,0,0,0,202,150,0,244,616,6868,5208,0
Other,22907,33934,74373,76864,47608,50684,50111,43660,29602,72297,37831,18748
