地名,区划码,县级,县级码,县级类,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,VAR_NAME,code,NAME_3,VAR_NAME3,GID_3,TYPE_3,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,ag_burn_count
封开县,441225.0,封开县,441225.0,县,肇庆市,441200.0,地级市,广东省,440000.0,省,,,Fengkai,Fēng Kāi,441225.0,Fengkai,FēngKāi,441225.0,,Zhaoqing,Zhào Qìng,441200.0,,Guangdong,,440000.0,Province,2015.0,0
封丘县,410727.0,封丘县,410727.0,县,新乡市,410700.0,地级市,河南省,410000.0,省,,,Fengqiu,Fēng Qiū,410727.0,Fengqiu,FēngQiū,410727.0,,Xinxiang,Xīn Xiāng,410700.0,,Henan,,410000.0,Province,2015.0,0
峰峰矿区,130406.0,峰峰矿区,130406.0,市辖区,邯郸市,130400.0,地级市,河北省,130000.0,省,,,Fengfengkuang,Fēng Fēng Kuàng,130406.0,Fengfengkuang,FēngFēngKuàng,130406.0,,Handan,Hán Dān,130400.0,,Hebei,Hé Běi,130000.0,Province,2015.0,0
凤城市,210682.0,凤城市,210682.0,县级市,丹东市,210600.0,地级市,辽宁省,210000.0,省,,,Fengcheng,Fèng Chéng,210682.0,Fengcheng,FèngChéng,210682.0,,Dandong,Dān Dōng,210600.0,,Liaoning,,210000.0,Province,2015.0,0
凤冈县,520327.0,凤冈县,520327.0,县,遵义市,520300.0,地级市,贵州省,520000.0,省,,,Fenggang,Fèng Gāng,520327.0,Fenggang,FèngGāng,520327.0,,Zunyi,Zūn Yì,520300.0,,Guizhou,Guì Zhōu,520000.0,Province,2015.0,0
凤凰县,433123.0,凤凰县,433123.0,县,湘西土家族苗族自治州,433100.0,自治州,湖南省,430000.0,省,,,Fenghuang,Fèng Huáng,433123.0,Fenghuang,FèngHuáng,433123.0,,Xiangxitujiazumiaozu,,433100.0,,Hunan,,430000.0,Province,2015.0,0
凤庆县,530921.0,凤庆县,530921.0,县,临沧市,530900.0,地级市,云南省,530000.0,省,,,Fengqing,Fèng Qìng,530921.0,Fengqing,FèngQìng,530921.0,,Lincang,Lín Cāng,530900.0,,Yunnan,,530000.0,Province,2015.0,0
凤泉区,410704.0,凤泉区,410704.0,市辖区,新乡市,410700.0,地级市,河南省,410000.0,省,,,Fengquan,Fèng Quán,410704.0,Fengquan,FèngQuán,410704.0,,Xinxiang,Xīn Xiāng,410700.0,,Henan,,410000.0,Province,2015.0,0
凤山县,451223.0,凤山县,451223.0,县,河池市,451200.0,地级市,广西壮族自治区,450000.0,自治区,,,Fengshan,Fèng Shān,451223.0,Fengshan,FèngShān,451223.0,,Hechi,Hé Chí,451200.0,,Guangxi,,450000.0,,2015.0,0
凤台县,340421.0,凤台县,340421.0,县,淮南市,340400.0,地级市,安徽省,340000.0,省,,,Fengtai,,340421.0,Fengtai,,340421.0,,Huainan,,340400.0,,Anhui,,340000.0,Province,2015.0,0
