地名,year,fire_count,frp_sum,frp_mean
东山县,2016,2,40.0,20.0
东山县,2018,2,15.7,7.85
东山县,2019,4,68.2,17.05
东川区,2010,25,1127.9,45.116
东川区,2012,2,25.1,12.55
东川区,2013,6,244.0,40.666668
东川区,2014,1,13.0,13.0
东川区,2015,6,115.6,19.266666
东川区,2016,3,76.6,25.533333
东川区,2017,4,152.3,38.075
东川区,2018,18,742.7,41.261112
东川区,2019,10,299.8,29.98
东平县,2010,10,79.8,7.9800005
东平县,2011,9,88.8,9.866667
东平县,2012,20,232.3,11.615
东平县,2013,15,203.1,13.54
东平县,2014,34,455.9,13.408823
东平县,2015,30,339.3,11.309999
东平县,2016,17,215.7,12.688235
东平县,2017,17,719.0,42.294117
东平县,2018,8,113.8,14.225
东平县,2019,3,30.900002,10.3
东方市,2010,76,1631.7999,21.471052
东方市,2011,63,2213.8,35.139683
东方市,2012,28,430.9,15.389285
东方市,2013,126,2526.3,20.050001
东方市,2014,89,1626.0,18.269663
东方市,2015,182,6097.6,33.503296
东方市,2016,60,1475.9,24.598333
东方市,2017,51,1032.4,20.243137
东方市,2018,78,1245.3,15.965385
东方市,2019,102,1718.9,16.851961
东昌区,2015,1,5.8,5.8
东昌区,2017,1,7.9,7.9
东昌府区,2010,19,201.4,10.599999
东昌府区,2011,28,380.2,13.578572
东昌府区,2012,35,454.1,12.974286
东昌府区,2013,55,635.3,11.550909
东昌府区,2014,81,1117.6,13.79753
东昌府区,2015,42,706.5,16.821428
东昌府区,2016,37,400.6,10.827027
东昌府区,2017,49,562.5,11.479591
东昌府区,2018,41,412.5,10.060976
东昌府区,2019,82,971.4,11.846342
东明县,2010,7,65.0,9.285714
东明县,2011,17,179.7,10.570588
东明县,2012,28,686.4,24.514286
东明县,2013,36,479.6,13.322223
东明县,2014,24,210.0,8.75
东明县,2015,38,623.7,16.413158
东明县,2016,16,187.6,11.725
东明县,2017,15,383.4,25.56
东明县,2018,2,13.5,6.75
东明县,2019,13,118.4,9.107693
东河区,2010,6,67.9,11.316667
东河区,2011,9,120.700005,13.411112
东河区,2012,7,47.6,6.7999997
东河区,2013,13,107.5,8.269231
东河区,2014,15,179.40001,11.960001
东河区,2015,15,178.6,11.906667
东河区,2016,16,107.399994,6.7124996
东河区,2017,16,336.8,21.05
东河区,2018,22,355.8,16.172728
东河区,2019,16,144.9,9.05625
东洲区,2010,9,309.1,34.344444
东洲区,2011,5,58.3,11.66
东洲区,2012,21,527.2,25.104763
东洲区,2013,6,107.1,17.85
东洲区,2014,17,201.6,11.858824
东洲区,2015,4,116.200005,29.050001
东洲区,2016,7,360.9,51.55714
东洲区,2017,12,149.8,12.483334
东洲区,2018,10,83.8,8.38
东洲区,2019,18,199.4,11.077778
东海县,2010,262,4310.1,16.450764
东海县,2011,95,1551.1,16.327368
东海县,2012,111,1541.8,13.890091
东海县,2013,95,4184.3,44.04526
东海县,2014,19,154.1,8.110527
东海县,2015,11,82.5,7.5
东海县,2016,6,46.4,7.7333336
东海县,2017,19,124.7,6.5631576
东海县,2018,18,146.1,8.116667
东海县,2019,17,138.09999,8.1235285
东港区,2010,12,276.9,23.074999
东港区,2011,11,566.8,51.52727
东港区,2012,5,44.100002,8.820001
东港区,2013,6,43.6,7.2666664
东港区,2014,15,158.6,10.573334
东港区,2015,9,86.2,9.577778
东港区,2016,9,86.7,9.633333
东港区,2017,10,81.3,8.13
东港区,2018,6,59.399998,9.9
东港区,2019,10,96.0,9.6
东港市,2010,16,200.0,12.5
东港市,2011,25,916.0,36.64
东港市,2012,26,528.3,20.319231
东港市,2013,7,111.7,15.957143
东港市,2014,25,339.6,13.584001
东港市,2015,55,683.5,12.427273
东港市,2016,95,1335.8,14.061053
东港市,2017,74,1005.6,13.589189
东港市,2018,55,752.4,13.68
东港市,2019,80,1351.3,16.89125
东源县,2010,94,2444.3,26.003193
东源县,2011,201,5277.8,26.257711
东源县,2012,117,2727.8,23.31453
东源县,2013,105,2338.7,22.273333
东源县,2014,198,7000.2,35.354546
东源县,2015,149,4590.2,30.806713
东源县,2016,58,1485.1,25.605171
东源县,2017,40,1444.6,36.114998
东源县,2018,19,273.80002,14.410527
东源县,2019,16,184.1,11.50625
东胜区,2010,65,679.6,10.455384
东胜区,2011,124,1454.8,11.732259
东胜区,2012,545,12178.6,22.346054
东胜区,2013,123,1686.0,13.707317
东胜区,2014,203,3045.5,15.002463
东胜区,2015,13,136.4,10.492308
东胜区,2016,19,136.9,7.2052627
东胜区,2017,19,162.0,8.526316
东胜区,2018,18,295.3,16.405556
东胜区,2019,37,359.4,9.713513
东至县,2010,127,2465.3,19.411812
东至县,2011,138,1892.2,13.711594
东至县,2012,92,1432.0,15.565217
东至县,2013,206,3316.2,16.098059
东至县,2014,134,2293.9,17.118656
东至县,2015,110,1838.3,16.711819
东至县,2016,47,748.9,15.934043
东至县,2017,42,544.6,12.966666
东至县,2018,18,266.3,14.794444
东至县,2019,22,310.9,14.131818
东莞市,2010,24,217.3,9.054167
东莞市,2011,31,303.1,9.777419
东莞市,2012,28,273.4,9.764285
东莞市,2013,15,152.7,10.179999
东莞市,2014,20,219.3,10.965
东莞市,2015,30,314.9,10.496667
东莞市,2016,17,252.5,14.8529415
东莞市,2017,23,258.7,11.247827
东莞市,2018,23,246.0,10.695652
东莞市,2019,20,213.9,10.695
东营区,2010,16,251.8,15.7375
东营区,2011,15,196.0,13.066667
东营区,2012,16,179.5,11.21875
东营区,2013,32,291.3,9.103125
东营区,2014,16,137.9,8.61875
东营区,2015,18,173.6,9.644444
东营区,2016,30,302.7,10.09
东营区,2017,43,436.2,10.144186
东营区,2018,31,441.9,14.254839
东营区,2019,36,466.3,12.952778
东西湖区,2010,6,55.8,9.3
东西湖区,2011,7,87.7,12.528571
东西湖区,2012,7,53.4,7.6285715
东西湖区,2013,25,228.2,9.128
东西湖区,2014,11,93.9,8.536364
东西湖区,2015,9,79.799995,8.866666
东西湖区,2016,17,187.8,11.047059
东西湖区,2017,13,154.2,11.861538
东西湖区,2018,20,147.6,7.38
东西湖区,2019,21,224.3,10.680952
东辽县,2010,1,5.4,5.4
东辽县,2011,2,14.1,7.05
东辽县,2012,10,163.7,16.369999
东辽县,2013,6,47.5,7.9166665
东辽县,2014,15,184.8,12.320001
东辽县,2015,29,489.0,16.862068
东辽县,2016,16,190.1,11.88125
东辽县,2017,39,371.3,9.520513
东辽县,2018,16,268.8,16.8
东辽县,2019,21,244.6,11.647619
东阳市,2010,13,90.4,6.9538465
东阳市,2011,28,322.8,11.528571
东阳市,2012,32,326.8,10.2125
东阳市,2013,22,205.0,9.318182
东阳市,2014,56,789.3,14.094643
东阳市,2015,19,252.59999,13.294736
东阳市,2016,17,143.1,8.417647
东阳市,2017,15,115.299995,7.6866665
东阳市,2018,14,128.3,9.164286
东阳市,2019,19,170.5,8.973684
东阿县,2010,8,69.5,8.6875
东阿县,2011,8,61.6,7.7
东阿县,2012,28,321.0,11.464286
东阿县,2013,51,488.0,9.568627
东阿县,2014,49,566.7,11.565307
东阿县,2015,53,916.9,17.300001
东阿县,2016,31,360.9,11.641935
东阿县,2017,23,242.3,10.534782
东阿县,2018,5,32.1,6.4199996
