县名,年份,火点数量,农业焚烧数量,农业焚烧比例
上蔡县,2014,267,0,0.0
上蔡县,2015,364,0,0.0
上蔡县,2016,8,0,0.0
上蔡县,2017,13,0,0.0
上蔡县,2018,6,0,0.0
上蔡县,2019,7,0,0.0
上虞区,2010,21,0,0.0
上虞区,2011,12,0,0.0
上虞区,2012,20,0,0.0
上虞区,2013,18,0,0.0
上虞区,2014,21,0,0.0
上虞区,2015,15,0,0.0
上虞区,2016,14,0,0.0
上虞区,2017,12,0,0.0
上虞区,2018,27,0,0.0
上虞区,2019,22,0,0.0
上街区,2010,2,0,0.0
上街区,2011,8,0,0.0
上街区,2012,2,0,0.0
上街区,2013,8,0,0.0
上街区,2014,17,0,0.0
上街区,2015,14,0,0.0
上街区,2016,15,0,0.0
上街区,2017,24,0,0.0
上街区,2018,16,0,0.0
上街区,2019,12,0,0.0
上饶县,2010,6,0,0.0
上饶县,2011,100,0,0.0
上饶县,2012,12,0,0.0
上饶县,2013,54,0,0.0
上饶县,2014,91,0,0.0
上饶县,2015,36,0,0.0
上饶县,2016,20,0,0.0
上饶县,2017,31,0,0.0
上饶县,2018,34,0,0.0
上饶县,2019,71,0,0.0
上高县,2010,17,0,0.0
上高县,2011,22,0,0.0
上高县,2012,28,0,0.0
上高县,2013,17,0,0.0
上高县,2014,16,0,0.0
上高县,2015,29,0,0.0
上高县,2016,22,0,0.0
上高县,2017,19,0,0.0
上高县,2018,14,0,0.0
上高县,2019,12,0,0.0
下城区,2010,2,0,0.0
下花园区,2011,4,0,0.0
下花园区,2012,7,0,0.0
下花园区,2013,2,0,0.0
下花园区,2014,11,0,0.0
下花园区,2015,2,0,0.0
下花园区,2017,4,0,0.0
下花园区,2018,4,0,0.0
下花园区,2019,2,0,0.0
下陆区,2010,1,0,0.0
下陆区,2011,2,0,0.0
下陆区,2012,3,0,0.0
下陆区,2013,3,0,0.0
下陆区,2019,5,0,0.0
且末县,2010,8,0,0.0
且末县,2011,13,0,0.0
且末县,2012,6,0,0.0
且末县,2013,7,0,0.0
且末县,2014,4,0,0.0
且末县,2015,7,0,0.0
且末县,2016,5,0,0.0
且末县,2017,3,0,0.0
丘北县,2010,607,0,0.0
丘北县,2011,43,0,0.0
丘北县,2012,358,0,0.0
丘北县,2013,239,0,0.0
丘北县,2014,495,0,0.0
丘北县,2015,207,0,0.0
丘北县,2016,378,0,0.0
丘北县,2017,129,0,0.0
丘北县,2018,354,0,0.0
丘北县,2019,351,0,0.0
丛台区,2011,2,0,0.0
丛台区,2012,8,0,0.0
丛台区,2013,12,0,0.0
丛台区,2014,7,0,0.0
丛台区,2015,5,0,0.0
丛台区,2016,5,0,0.0
丛台区,2017,6,0,0.0
丛台区,2018,2,0,0.0
东丰县,2010,5,0,0.0
东丰县,2011,19,0,0.0
东丰县,2012,15,0,0.0
东丰县,2013,9,0,0.0
东丰县,2014,45,0,0.0
东丰县,2015,54,0,0.0
东丰县,2016,23,0,0.0
东丰县,2017,108,0,0.0
东丰县,2018,28,0,0.0
东丰县,2019,32,0,0.0
东丽区,2010,97,0,0.0
东丽区,2011,109,0,0.0
东丽区,2012,117,0,0.0
东丽区,2013,115,0,0.0
东丽区,2014,45,0,0.0
东丽区,2015,40,0,0.0
东丽区,2016,40,0,0.0
东丽区,2017,62,0,0.0
东丽区,2018,40,0,0.0
东丽区,2019,47,0,0.0
东乌珠穆沁旗,2010,59,0,0.0
东乌珠穆沁旗,2011,77,0,0.0
东乌珠穆沁旗,2012,129,0,0.0
东乌珠穆沁旗,2013,70,0,0.0
东乌珠穆沁旗,2014,73,0,0.0
东乌珠穆沁旗,2015,167,0,0.0
东乌珠穆沁旗,2016,99,0,0.0
东乌珠穆沁旗,2017,356,0,0.0
东乌珠穆沁旗,2018,10,0,0.0
东乌珠穆沁旗,2019,39,0,0.0
东乡县,2010,14,0,0.0
东乡县,2011,19,0,0.0
东乡县,2012,39,0,0.0
东乡县,2013,45,0,0.0
东乡县,2014,107,0,0.0
东乡县,2015,22,0,0.0
东乡县,2016,25,0,0.0
东乡县,2017,21,0,0.0
东乡县,2018,33,0,0.0
东乡县,2019,26,0,0.0
东乡族自治县,2014,4,0,0.0
东乡族自治县,2015,1,0,0.0
东乡族自治县,2016,1,0,0.0
东乡族自治县,2018,1,0,0.0
东乡族自治县,2019,7,0,0.0
东光县,2010,14,0,0.0
东光县,2011,7,0,0.0
东光县,2012,10,0,0.0
东光县,2013,16,0,0.0
东光县,2014,17,0,0.0
东光县,2015,11,0,0.0
东光县,2016,15,0,0.0
东光县,2017,41,0,0.0
东光县,2018,16,0,0.0
东光县,2019,20,0,0.0
东兰县,2010,23,0,0.0
东兰县,2011,12,0,0.0
东兰县,2012,4,0,0.0
东兰县,2013,9,0,0.0
东兰县,2014,14,0,0.0
东兰县,2015,7,0,0.0
东兰县,2016,11,0,0.0
东兰县,2017,5,0,0.0
东兰县,2018,7,0,0.0
东兰县,2019,2,0,0.0
东兴区,2011,7,0,0.0
东兴区,2012,4,0,0.0
东兴区,2013,8,0,0.0
东兴区,2014,2,0,0.0
东兴区,2015,1,0,0.0
东兴区,2016,3,0,0.0
东兴区,2018,10,0,0.0
东兴区,2019,4,0,0.0
东兴市,2010,7,0,0.0
东兴市,2011,14,0,0.0
东兴市,2012,6,0,0.0
东兴市,2013,2,0,0.0
东兴市,2014,8,0,0.0
东兴市,2015,9,0,0.0
东兴市,2016,2,0,0.0
东兴市,2017,2,0,0.0
东兴市,2018,8,0,0.0
东兴市,2019,5,0,0.0
东区,2010,466,0,0.0
东区,2011,457,0,0.0
东区,2012,516,0,0.0
东区,2013,504,0,0.0
东区,2014,593,0,0.0
东区,2015,454,0,0.0
东区,2016,431,0,0.0
东区,2017,531,0,0.0
东区,2018,492,0,0.0
东区,2019,529,0,0.0
东台市,2010,31,0,0.0
东台市,2011,44,0,0.0
东台市,2012,25,0,0.0
东台市,2013,18,0,0.0
东台市,2014,27,0,0.0
东台市,2015,58,0,0.0
东台市,2016,18,0,0.0
东台市,2017,71,0,0.0
东台市,2018,56,0,0.0
东台市,2019,48,0,0.0
东坡区,2010,8,0,0.0
东坡区,2011,8,0,0.0
东坡区,2012,5,0,0.0
东坡区,2013,21,0,0.0
东坡区,2014,12,0,0.0
东坡区,2015,14,0,0.0
东坡区,2016,9,0,0.0
东坡区,2017,10,0,0.0
东坡区,2018,12,0,0.0
东坡区,2019,11,0,0.0
东宁市,2010,15,0,0.0
东宁市,2011,33,0,0.0
东宁市,2012,21,0,0.0
东宁市,2013,37,2,0.05405405405405406
东宁市,2014,48,0,0.0
东宁市,2015,40,2,0.05
东宁市,2016,35,0,0.0
东宁市,2017,53,0,0.0
东宁市,2018,38,1,0.02631578947368421
东宁市,2019,70,1,0.014285714285714285
东安区,2010,1,0,0.0
东安区,2011,18,1,0.05555555555555555
东安区,2012,13,0,0.0
东安区,2013,16,1,0.0625
东安区,2014,9,0,0.0
东安区,2015,15,0,0.0
东安区,2016,11,1,0.09090909090909091
东安区,2017,22,0,0.0
东安区,2018,6,0,0.0
东安区,2019,10,0,0.0
东安县,2010,27,0,0.0
东安县,2011,28,0,0.0
东安县,2012,52,0,0.0
东安县,2013,64,0,0.0
东安县,2014,56,0,0.0
东安县,2015,20,0,0.0
东安县,2016,27,0,0.0
东安县,2017,60,0,0.0
东安县,2018,22,0,0.0
东安县,2019,33,0,0.0
东宝区,2010,9,0,0.0
东宝区,2011,17,0,0.0
东宝区,2012,7,0,0.0
东宝区,2013,11,0,0.0
东宝区,2014,19,0,0.0
东宝区,2015,13,0,0.0
东宝区,2016,10,0,0.0
东宝区,2017,10,0,0.0
东宝区,2018,4,0,0.0
东宝区,2019,9,0,0.0
东山区,2010,47,0,0.0
东山区,2011,112,4,0.03571428571428571
东山区,2012,107,0,0.0
东山区,2013,102,2,0.0196078431372549
东山区,2014,148,3,0.02027027027027027
东山区,2015,92,0,0.0
东山区,2016,90,1,0.011111111111111112
东山区,2017,119,1,0.008403361344537815
东山区,2018,35,0,0.0
东山区,2019,68,0,0.0
东山县,2010,1,0,0.0
东山县,2011,1,0,0.0
东山县,2013,2,0,0.0
东山县,2014,1,0,0.0
东山县,2015,1,0,0.0
东山县,2016,2,0,0.0
东山县,2018,2,0,0.0
东山县,2019,4,0,0.0
东川区,2010,25,0,0.0
东川区,2012,2,0,0.0
东川区,2013,6,0,0.0
东川区,2014,1,0,0.0
东川区,2015,6,0,0.0
东川区,2016,3,0,0.0
东川区,2017,4,0,0.0
东川区,2018,18,0,0.0
东川区,2019,10,0,0.0
东平县,2010,10,0,0.0
东平县,2011,9,0,0.0
东平县,2012,20,0,0.0
东平县,2013,15,0,0.0
东平县,2014,34,0,0.0
东平县,2015,30,0,0.0
东平县,2016,17,0,0.0
东平县,2017,17,0,0.0
东平县,2018,8,0,0.0
东平县,2019,3,0,0.0
东方市,2010,76,0,0.0
东方市,2011,63,0,0.0
东方市,2012,28,0,0.0
东方市,2013,126,0,0.0
东方市,2014,89,0,0.0
东方市,2015,182,0,0.0
东方市,2016,60,0,0.0
东方市,2017,51,0,0.0
东方市,2018,78,0,0.0
东方市,2019,102,0,0.0
东昌区,2015,1,0,0.0
东昌区,2017,1,0,0.0
东昌府区,2010,19,0,0.0
东昌府区,2011,28,0,0.0
东昌府区,2012,35,0,0.0
东昌府区,2013,55,0,0.0
东昌府区,2014,81,0,0.0
东昌府区,2015,42,0,0.0
东昌府区,2016,37,0,0.0
东昌府区,2017,49,0,0.0
东昌府区,2018,41,0,0.0
东昌府区,2019,82,0,0.0
东明县,2010,7,0,0.0
东明县,2011,17,0,0.0
东明县,2012,28,0,0.0
东明县,2013,36,0,0.0
东明县,2014,24,0,0.0
东明县,2015,38,0,0.0
东明县,2016,16,0,0.0
东明县,2017,15,0,0.0
东明县,2018,2,0,0.0
东明县,2019,13,0,0.0
东河区,2010,6,0,0.0
东河区,2011,9,0,0.0
东河区,2012,7,0,0.0
东河区,2013,13,0,0.0
东河区,2014,15,0,0.0
东河区,2015,15,0,0.0
东河区,2016,16,0,0.0
东河区,2017,16,0,0.0
东河区,2018,22,0,0.0
东河区,2019,16,0,0.0
东洲区,2010,9,0,0.0
东洲区,2011,5,0,0.0
东洲区,2012,21,0,0.0
东洲区,2013,6,0,0.0
东洲区,2014,17,0,0.0
东洲区,2015,4,0,0.0
东洲区,2016,7,0,0.0
东洲区,2017,12,0,0.0
东洲区,2018,10,0,0.0
东洲区,2019,18,0,0.0
东海县,2010,262,0,0.0
东海县,2011,95,0,0.0
东海县,2012,111,0,0.0
东海县,2013,95,0,0.0
东海县,2014,19,0,0.0
东海县,2015,11,0,0.0
东海县,2016,6,0,0.0
东海县,2017,19,0,0.0
东海县,2018,18,0,0.0
东海县,2019,17,0,0.0
东港区,2010,12,0,0.0
东港区,2011,11,0,0.0
东港区,2012,5,0,0.0
东港区,2013,6,0,0.0
东港区,2014,15,0,0.0
东港区,2015,9,0,0.0
东港区,2016,9,0,0.0
东港区,2017,10,0,0.0
东港区,2018,6,0,0.0
东港区,2019,10,0,0.0
东港市,2010,16,0,0.0
东港市,2011,25,0,0.0
东港市,2012,26,0,0.0
东港市,2013,7,0,0.0
东港市,2014,25,0,0.0
东港市,2015,55,0,0.0
东港市,2016,95,0,0.0
东港市,2017,74,0,0.0
东港市,2018,55,0,0.0
东港市,2019,80,0,0.0
东源县,2010,94,0,0.0
东源县,2011,201,0,0.0
东源县,2012,117,0,0.0
东源县,2013,105,0,0.0
东源县,2014,198,0,0.0
东源县,2015,149,0,0.0
东源县,2016,58,0,0.0
东源县,2017,40,0,0.0
东源县,2018,19,0,0.0
东源县,2019,16,0,0.0
东胜区,2010,65,0,0.0
东胜区,2011,124,0,0.0
东胜区,2012,545,0,0.0
东胜区,2013,123,0,0.0
东胜区,2014,203,0,0.0
东胜区,2015,13,0,0.0
东胜区,2016,19,0,0.0
东胜区,2017,19,0,0.0
东胜区,2018,18,0,0.0
东胜区,2019,37,0,0.0
东至县,2010,127,0,0.0
东至县,2011,138,0,0.0
东至县,2012,92,0,0.0
东至县,2013,206,0,0.0
东至县,2014,134,0,0.0
东至县,2015,110,0,0.0
东至县,2016,47,0,0.0
东至县,2017,42,0,0.0
东至县,2018,18,0,0.0
东至县,2019,22,0,0.0
东莞市,2010,24,0,0.0
东莞市,2011,31,0,0.0
东莞市,2012,28,0,0.0
东莞市,2013,15,0,0.0
东莞市,2014,20,0,0.0
东莞市,2015,30,0,0.0
东莞市,2016,17,0,0.0
东莞市,2017,23,0,0.0
东莞市,2018,23,0,0.0
东莞市,2019,20,0,0.0
东营区,2010,16,0,0.0
东营区,2011,15,0,0.0
东营区,2012,16,0,0.0
东营区,2013,32,0,0.0
东营区,2014,16,0,0.0
东营区,2015,18,0,0.0
东营区,2016,30,0,0.0
东营区,2017,43,0,0.0
东营区,2018,31,0,0.0
东营区,2019,36,0,0.0
东西湖区,2010,6,0,0.0
东西湖区,2011,7,0,0.0
东西湖区,2012,7,0,0.0
东西湖区,2013,25,0,0.0
东西湖区,2014,11,0,0.0
东西湖区,2015,9,0,0.0
东西湖区,2016,17,0,0.0
东西湖区,2017,13,0,0.0
东西湖区,2018,20,0,0.0
东西湖区,2019,21,0,0.0
东辽县,2010,1,0,0.0
东辽县,2011,2,0,0.0
东辽县,2012,10,0,0.0
东辽县,2013,6,0,0.0
东辽县,2014,15,0,0.0
东辽县,2015,29,0,0.0
东辽县,2016,16,0,0.0
东辽县,2017,39,0,0.0
东辽县,2018,16,0,0.0
东辽县,2019,21,0,0.0
东阳市,2010,13,0,0.0
东阳市,2011,28,0,0.0
东阳市,2012,32,0,0.0
东阳市,2013,22,0,0.0
东阳市,2014,56,0,0.0
东阳市,2015,19,0,0.0
东阳市,2016,17,0,0.0
东阳市,2017,15,0,0.0
东阳市,2018,14,0,0.0
东阳市,2019,19,0,0.0
东阿县,2010,8,0,0.0
东阿县,2011,8,0,0.0
东阿县,2012,28,0,0.0
东阿县,2013,51,0,0.0
东阿县,2014,49,0,0.0
东阿县,2015,53,0,0.0
东阿县,2016,31,0,0.0
东阿县,2017,23,0,0.0
东阿县,2018,5,0,0.0
东阿县,2019,15,0,0.0
东风区,2010,7,1,0.14285714285714285
东风区,2011,9,1,0.1111111111111111
东风区,2012,3,0,0.0
东风区,2013,7,0,0.0
东风区,2014,4,0,0.0
东风区,2015,3,0,0.0
东风区,2017,3,0,0.0
东风区,2018,5,0,0.0
东风区,2019,1,0,0.0
两当县,2010,2,0,0.0
两当县,2014,3,0,0.0
两当县,2016,1,0,0.0
个旧市,2010,179,0,0.0
个旧市,2011,69,0,0.0
个旧市,2012,75,0,0.0
个旧市,2013,38,0,0.0
个旧市,2014,80,0,0.0
个旧市,2015,57,0,0.0
个旧市,2016,33,0,0.0
个旧市,2017,19,0,0.0
个旧市,2018,28,0,0.0
个旧市,2019,50,0,0.0
中原区,2010,3,0,0.0
中原区,2011,3,0,0.0
中原区,2012,3,0,0.0
中原区,2013,2,0,0.0
中原区,2014,4,0,0.0
中原区,2015,12,0,0.0
中原区,2016,4,0,0.0
中原区,2017,4,0,0.0
中原区,2018,3,0,0.0
中原区,2019,5,0,0.0
中宁县,2010,56,0,0.0
中宁县,2011,61,0,0.0
中宁县,2012,65,0,0.0
中宁县,2013,72,0,0.0
中宁县,2014,62,0,0.0
中宁县,2015,87,0,0.0
中宁县,2016,33,0,0.0
中宁县,2017,34,0,0.0
中宁县,2018,38,0,0.0
中宁县,2019,42,0,0.0
中山市,2010,30,0,0.0
中山市,2011,35,0,0.0
中山市,2012,29,0,0.0
中山市,2013,24,0,0.0
中山市,2014,46,0,0.0
中山市,2015,28,0,0.0
中山市,2016,33,0,0.0
中山市,2017,13,0,0.0
中山市,2018,26,0,0.0
中山市,2019,27,0,0.0
中方县,2010,45,0,0.0
中方县,2011,21,0,0.0
中方县,2012,16,0,0.0
中方县,2013,14,0,0.0
中方县,2014,14,0,0.0
中方县,2015,9,0,0.0
中方县,2016,4,0,0.0
中方县,2017,5,0,0.0
中方县,2018,5,0,0.0
中方县,2019,11,0,0.0
中朝共有,2010,2,0,0.0
中朝共有,2012,1,0,0.0
中朝共有,2016,1,0,0.0
中朝共有,2017,1,0,0.0
中朝共有,2018,1,0,0.0
中江县,2013,4,0,0.0
中江县,2014,3,0,0.0
中江县,2015,2,0,0.0
中江县,2016,5,0,0.0
中江县,2017,14,0,0.0
中江县,2018,10,0,0.0
中江县,2019,9,0,0.0
中牟县,2010,6,0,0.0
中牟县,2011,7,0,0.0
中牟县,2012,34,0,0.0
中牟县,2013,55,0,0.0
中牟县,2014,75,0,0.0
中牟县,2015,151,0,0.0
中牟县,2016,183,0,0.0
中牟县,2017,159,0,0.0
中牟县,2018,126,0,0.0
中牟县,2019,94,0,0.0
中站区,2011,1,0,0.0
中站区,2013,2,0,0.0
中站区,2014,5,0,0.0
中站区,2015,1,0,0.0
中站区,2016,3,0,0.0
中站区,2017,4,0,0.0
中站区,2018,2,0,0.0
中站区,2019,2,0,0.0
中阳县,2010,5,0,0.0
中阳县,2011,4,0,0.0
中阳县,2012,6,0,0.0
中阳县,2013,12,0,0.0
中阳县,2014,9,0,0.0
中阳县,2015,2,0,0.0
中阳县,2016,3,0,0.0
中阳县,2017,4,0,0.0
中阳县,2018,20,0,0.0
中阳县,2019,7,0,0.0
丰南区,2010,45,0,0.0
丰南区,2011,55,0,0.0
丰南区,2012,72,0,0.0
丰南区,2013,121,0,0.0
丰南区,2014,101,0,0.0
丰南区,2015,113,0,0.0
丰南区,2016,118,0,0.0
丰南区,2017,101,0,0.0
丰南区,2018,109,0,0.0
丰南区,2019,88,0,0.0
丰县,2010,19,0,0.0
丰县,2011,26,0,0.0
丰县,2012,86,0,0.0
丰县,2013,28,0,0.0
丰县,2014,12,0,0.0
丰县,2015,19,0,0.0
丰县,2016,18,0,0.0
丰县,2017,28,0,0.0
丰县,2018,19,0,0.0
丰县,2019,23,0,0.0
丰台区,2010,14,0,0.0
丰台区,2011,23,0,0.0
丰台区,2012,20,0,0.0
丰台区,2013,19,0,0.0
丰台区,2014,17,0,0.0
丰台区,2015,13,0,0.0
丰台区,2016,9,0,0.0
丰台区,2017,11,0,0.0
丰台区,2018,5,0,0.0
丰台区,2019,5,0,0.0
丰城市,2010,24,0,0.0
丰城市,2011,18,0,0.0
丰城市,2012,12,0,0.0
丰城市,2013,33,0,0.0
丰城市,2014,44,0,0.0
丰城市,2015,27,0,0.0
丰城市,2016,32,0,0.0
