县名,年份,月份,火点数量,农业焚烧数量,农业焚烧比例
丁青县,2014,9,1,0,0.0
丁青县,2015,11,1,0,0.0
丁青县,2017,9,1,0,0.0
七星关区,2010,1,3,0,0.0
七星关区,2010,2,96,0,0.0
七星关区,2010,3,31,0,0.0
七星关区,2011,2,20,0,0.0
七星关区,2011,4,1,0,0.0
七星关区,2011,5,3,0,0.0
七星关区,2011,7,5,0,0.0
七星关区,2011,8,5,0,0.0
七星关区,2011,9,2,0,0.0
七星关区,2011,11,1,0,0.0
七星关区,2012,2,1,0,0.0
七星关区,2012,3,4,0,0.0
七星关区,2012,4,8,0,0.0
七星关区,2012,5,6,0,0.0
七星关区,2012,7,1,0,0.0
七星关区,2012,8,3,0,0.0
七星关区,2012,9,1,0,0.0
七星关区,2012,10,1,0,0.0
七星关区,2012,12,1,0,0.0
七星关区,2013,1,3,0,0.0
七星关区,2013,2,14,0,0.0
七星关区,2013,3,8,0,0.0
七星关区,2013,4,3,0,0.0
七星关区,2013,5,6,0,0.0
七星关区,2013,6,2,0,0.0
七星关区,2013,7,1,0,0.0
七星关区,2013,8,3,0,0.0
七星关区,2013,9,3,0,0.0
七星关区,2013,10,2,0,0.0
七星关区,2013,11,2,0,0.0
七星关区,2013,12,1,0,0.0
七星关区,2014,1,42,0,0.0
七星关区,2014,2,5,0,0.0
七星关区,2014,3,3,0,0.0
七星关区,2014,4,7,0,0.0
七星关区,2014,5,1,0,0.0
七星关区,2014,7,2,0,0.0
七星关区,2014,8,3,0,0.0
七星关区,2014,9,2,0,0.0
七星关区,2015,1,4,0,0.0
七星关区,2015,2,7,0,0.0
七星关区,2015,3,4,0,0.0
七星关区,2015,4,4,0,0.0
七星关区,2015,5,1,0,0.0
七星关区,2015,6,1,0,0.0
七星关区,2015,10,3,0,0.0
七星关区,2016,1,2,0,0.0
七星关区,2016,2,8,0,0.0
七星关区,2016,3,2,0,0.0
七星关区,2016,4,3,0,0.0
七星关区,2016,5,3,0,0.0
七星关区,2016,6,2,0,0.0
七星关区,2016,7,2,0,0.0
七星关区,2016,8,6,0,0.0
七星关区,2016,9,2,0,0.0
七星关区,2016,10,3,0,0.0
七星关区,2017,2,1,0,0.0
七星关区,2017,4,3,0,0.0
七星关区,2017,5,1,0,0.0
七星关区,2017,7,5,0,0.0
七星关区,2017,8,1,0,0.0
七星关区,2017,9,1,0,0.0
七星关区,2017,12,3,0,0.0
七星关区,2018,1,2,0,0.0
七星关区,2018,2,10,0,0.0
七星关区,2018,3,16,0,0.0
七星关区,2018,5,1,0,0.0
七星关区,2018,6,2,0,0.0
七星关区,2018,7,1,0,0.0
七星关区,2018,8,3,0,0.0
七星关区,2018,9,3,0,0.0
七星关区,2019,2,3,0,0.0
七星关区,2019,3,4,0,0.0
七星关区,2019,4,3,0,0.0
七星关区,2019,5,1,0,0.0
七星关区,2019,8,6,0,0.0
七星关区,2019,10,1,0,0.0
七星区,2012,4,1,0,0.0
七星区,2012,7,1,0,0.0
七星区,2013,8,1,0,0.0
七星区,2015,4,1,0,0.0
七星区,2017,4,1,0,0.0
七星区,2017,12,1,0,0.0
七里河区,2010,3,1,0,0.0
七里河区,2011,4,1,0,0.0
七里河区,2011,5,1,0,0.0
七里河区,2011,9,1,0,0.0
七里河区,2012,6,2,0,0.0
七里河区,2013,6,1,0,0.0
七里河区,2013,7,2,0,0.0
七里河区,2014,1,5,0,0.0
七里河区,2014,5,1,0,0.0
七里河区,2014,6,3,0,0.0
七里河区,2014,7,1,0,0.0
七里河区,2014,9,1,0,0.0
七里河区,2015,2,1,0,0.0
七里河区,2015,5,1,0,0.0
七里河区,2015,7,1,0,0.0
七里河区,2016,5,1,0,0.0
七里河区,2016,6,1,0,0.0
七里河区,2017,5,1,0,0.0
七里河区,2017,6,3,0,0.0
七里河区,2017,7,1,0,0.0
七里河区,2018,4,2,0,0.0
七里河区,2018,5,1,0,0.0
七里河区,2018,6,1,0,0.0
七里河区,2018,7,1,0,0.0
七里河区,2018,8,1,0,0.0
七里河区,2019,3,5,0,0.0
七里河区,2019,5,1,0,0.0
七里河区,2019,6,3,0,0.0
七里河区,2019,8,1,0,0.0
七里河区,2019,11,3,0,0.0
万全县,2010,4,4,0,0.0
万全县,2010,5,4,0,0.0
万全县,2010,7,4,0,0.0
万全县,2010,8,2,0,0.0
万全县,2010,11,1,0,0.0
万全县,2011,1,1,0,0.0
万全县,2011,2,2,0,0.0
万全县,2011,3,5,0,0.0
万全县,2011,4,9,0,0.0
万全县,2011,5,2,0,0.0
万全县,2011,7,5,0,0.0
万全县,2011,8,9,0,0.0
万全县,2011,10,3,0,0.0
万全县,2011,11,1,0,0.0
万全县,2012,2,4,0,0.0
万全县,2012,3,2,0,0.0
万全县,2012,4,20,0,0.0
万全县,2012,5,2,0,0.0
万全县,2012,6,4,0,0.0
万全县,2012,8,2,0,0.0
万全县,2012,10,1,0,0.0
万全县,2013,2,1,0,0.0
万全县,2013,3,3,0,0.0
万全县,2013,4,1,0,0.0
万全县,2013,5,6,0,0.0
万全县,2013,6,8,0,0.0
万全县,2013,7,2,0,0.0
万全县,2013,8,5,0,0.0
万全县,2013,10,3,0,0.0
万全县,2013,11,6,0,0.0
万全县,2013,12,2,0,0.0
万全县,2014,2,1,0,0.0
万全县,2014,3,6,0,0.0
万全县,2014,4,12,0,0.0
万全县,2014,5,2,0,0.0
万全县,2014,6,2,0,0.0
万全县,2014,7,3,0,0.0
万全县,2014,8,8,0,0.0
万全县,2014,10,3,0,0.0
万全县,2014,11,2,0,0.0
万全县,2015,2,1,0,0.0
万全县,2015,3,4,0,0.0
万全县,2015,4,6,0,0.0
万全县,2015,5,4,0,0.0
万全县,2015,6,2,0,0.0
万全县,2015,8,2,0,0.0
万全县,2015,10,4,0,0.0
万全县,2015,11,3,0,0.0
万全县,2016,2,5,0,0.0
万全县,2016,3,3,0,0.0
万全县,2016,4,2,0,0.0
万全县,2016,5,9,0,0.0
万全县,2016,6,3,0,0.0
万全县,2016,7,6,0,0.0
万全县,2016,8,10,0,0.0
万全县,2016,10,1,0,0.0
万全县,2016,11,2,0,0.0
万全县,2017,1,1,0,0.0
万全县,2017,2,10,0,0.0
万全县,2017,3,5,0,0.0
万全县,2017,4,3,0,0.0
万全县,2017,5,2,0,0.0
万全县,2017,6,1,0,0.0
万全县,2017,7,2,0,0.0
万全县,2017,8,5,0,0.0
万全县,2017,11,2,0,0.0
万全县,2018,2,13,0,0.0
万全县,2018,3,3,0,0.0
万全县,2018,5,1,0,0.0
万全县,2018,7,9,0,0.0
万全县,2018,10,1,0,0.0
万全县,2018,11,1,0,0.0
万全县,2018,12,1,0,0.0
万全县,2019,3,5,0,0.0
万全县,2019,4,5,0,0.0
万全县,2019,6,3,0,0.0
万全县,2019,7,5,0,0.0
万全县,2019,8,4,0,0.0
万全县,2019,10,4,0,0.0
万宁市,2010,3,1,0,0.0
万宁市,2011,8,1,0,0.0
万宁市,2011,11,1,0,0.0
万宁市,2012,10,1,0,0.0
万宁市,2013,7,1,0,0.0
万宁市,2013,10,1,0,0.0
万宁市,2013,11,1,0,0.0
万宁市,2014,1,1,0,0.0
万宁市,2014,5,3,0,0.0
万宁市,2014,7,1,0,0.0
万宁市,2014,10,1,0,0.0
万宁市,2014,11,1,0,0.0
万宁市,2015,6,1,0,0.0
万宁市,2016,7,2,0,0.0
万宁市,2017,11,1,0,0.0
万宁市,2018,11,1,0,0.0
万安县,2010,1,4,0,0.0
万安县,2010,2,14,0,0.0
万安县,2010,7,1,0,0.0
万安县,2010,9,4,0,0.0
万安县,2010,10,1,0,0.0
万安县,2010,11,9,0,0.0
万安县,2010,12,14,0,0.0
万安县,2011,2,8,0,0.0
万安县,2011,4,4,0,0.0
万安县,2011,5,6,0,0.0
万安县,2011,9,4,0,0.0
万安县,2011,11,2,0,0.0
万安县,2011,12,12,0,0.0
万安县,2012,2,9,0,0.0
万安县,2012,3,12,0,0.0
万安县,2012,4,1,0,0.0
万安县,2012,5,1,0,0.0
万安县,2012,9,2,0,0.0
万安县,2012,10,7,0,0.0
万安县,2013,1,2,0,0.0
万安县,2013,2,6,0,0.0
万安县,2013,3,16,0,0.0
万安县,2013,4,5,0,0.0
万安县,2013,6,1,0,0.0
万安县,2013,9,2,0,0.0
万安县,2013,10,4,0,0.0
万安县,2013,11,2,0,0.0
万安县,2013,12,18,0,0.0
万安县,2014,1,36,0,0.0
万安县,2014,3,11,0,0.0
万安县,2014,4,2,0,0.0
万安县,2014,6,5,0,0.0
万安县,2014,9,1,0,0.0
万安县,2014,12,8,0,0.0
万安县,2015,1,11,0,0.0
万安县,2015,2,26,0,0.0
万安县,2015,3,1,0,0.0
万安县,2015,4,2,0,0.0
万安县,2015,5,1,0,0.0
万安县,2015,10,6,0,0.0
万安县,2016,1,2,0,0.0
万安县,2016,2,3,0,0.0
万安县,2016,3,11,0,0.0
万安县,2016,7,1,0,0.0
万安县,2016,8,1,0,0.0
万安县,2017,1,12,0,0.0
万安县,2017,2,9,0,0.0
万安县,2017,7,1,0,0.0
万安县,2017,9,3,0,0.0
万安县,2018,1,2,0,0.0
万安县,2018,2,1,0,0.0
万安县,2018,3,5,0,0.0
万安县,2018,4,1,0,0.0
万安县,2018,6,1,0,0.0
万安县,2018,7,1,0,0.0
万安县,2018,10,3,0,0.0
万安县,2019,1,5,0,0.0
万安县,2019,3,3,0,0.0
万安县,2019,8,1,0,0.0
万安县,2019,9,3,0,0.0
万安县,2019,10,2,0,0.0
万安县,2019,12,3,0,0.0
万山区,2010,3,4,0,0.0
万山区,2010,8,1,0,0.0
万山区,2011,3,1,0,0.0
万山区,2011,4,2,0,0.0
万山区,2011,8,2,0,0.0
万山区,2012,3,1,0,0.0
万山区,2012,4,1,0,0.0
万山区,2013,3,4,0,0.0
万山区,2013,7,1,0,0.0
万山区,2013,9,2,0,0.0
万山区,2013,10,1,0,0.0
万山区,2013,12,1,0,0.0
万山区,2014,1,1,0,0.0
万山区,2017,2,2,0,0.0
万山区,2017,7,1,0,0.0
万山区,2018,7,1,0,0.0
万山区,2019,3,1,0,0.0
万山区,2019,9,1,0,0.0
万州区,2010,1,1,0,0.0
万州区,2010,3,2,0,0.0
万州区,2010,4,3,0,0.0
万州区,2010,5,1,0,0.0
万州区,2010,8,5,0,0.0
万州区,2011,2,1,0,0.0
万州区,2011,4,1,0,0.0
万州区,2011,5,1,0,0.0
万州区,2011,6,4,0,0.0
万州区,2011,7,2,0,0.0
万州区,2011,8,6,0,0.0
万州区,2011,11,1,0,0.0
万州区,2012,3,2,0,0.0
万州区,2012,4,6,0,0.0
万州区,2012,5,1,0,0.0
万州区,2012,7,3,0,0.0
万州区,2012,8,5,0,0.0
万州区,2013,2,4,0,0.0
万州区,2013,3,1,0,0.0
万州区,2013,5,1,0,0.0
万州区,2013,6,4,0,0.0
万州区,2013,7,4,0,0.0
万州区,2013,8,3,0,0.0
万州区,2013,11,1,0,0.0
万州区,2014,2,1,0,0.0
万州区,2014,4,1,0,0.0
万州区,2014,7,6,0,0.0
万州区,2014,8,2,0,0.0
万州区,2015,4,3,0,0.0
万州区,2015,7,14,0,0.0
万州区,2015,8,2,0,0.0
万州区,2015,9,1,0,0.0
万州区,2016,2,2,0,0.0
万州区,2016,3,2,0,0.0
万州区,2016,4,3,0,0.0
万州区,2016,5,2,0,0.0
万州区,2016,7,11,0,0.0
万州区,2016,8,6,0,0.0
万州区,2017,4,2,0,0.0
万州区,2017,5,3,0,0.0
万州区,2017,6,3,0,0.0
万州区,2017,7,15,0,0.0
万州区,2017,8,7,0,0.0
万州区,2017,9,1,0,0.0
万州区,2018,4,6,0,0.0
万州区,2018,6,3,0,0.0
万州区,2018,7,9,0,0.0
万州区,2018,8,18,0,0.0
万州区,2018,9,1,0,0.0
万州区,2019,4,2,0,0.0
万州区,2019,6,2,0,0.0
万州区,2019,7,8,0,0.0
万州区,2019,8,9,0,0.0
万年县,2010,3,7,0,0.0
万年县,2010,11,1,0,0.0
万年县,2011,2,5,0,0.0
万年县,2011,3,10,0,0.0
万年县,2011,4,1,0,0.0
万年县,2012,4,17,0,0.0
万年县,2012,8,2,0,0.0
万年县,2012,10,3,0,0.0
万年县,2013,3,3,0,0.0
万年县,2013,7,1,0,0.0
万年县,2013,8,2,0,0.0
万年县,2013,10,4,0,0.0
万年县,2013,12,4,0,0.0
万年县,2014,1,12,0,0.0
万年县,2014,2,6,0,0.0
万年县,2014,3,1,0,0.0
万年县,2014,4,1,0,0.0
万年县,2014,10,3,0,0.0
万年县,2014,11,1,0,0.0
万年县,2015,1,2,0,0.0
万年县,2015,4,1,0,0.0
万年县,2015,9,1,0,0.0
万年县,2015,10,1,0,0.0
万年县,2016,2,14,0,0.0
万年县,2016,3,2,0,0.0
万年县,2016,4,1,0,0.0
万年县,2016,11,1,0,0.0
万年县,2017,2,5,0,0.0
万年县,2017,3,2,0,0.0
万年县,2017,4,2,0,0.0
万年县,2017,7,1,0,0.0
万年县,2017,8,1,0,0.0
万年县,2017,10,3,0,0.0
万年县,2017,12,1,0,0.0
万年县,2018,2,2,0,0.0
万年县,2018,7,2,0,0.0
万年县,2018,8,1,0,0.0
万年县,2018,9,1,0,0.0
万年县,2018,10,10,0,0.0
万年县,2019,3,4,0,0.0
万年县,2019,5,2,0,0.0
万年县,2019,7,2,0,0.0
万年县,2019,8,1,0,0.0
万年县,2019,9,5,0,0.0
万年县,2019,11,1,0,0.0
万年县,2019,12,3,0,0.0
万柏林区,2010,4,3,0,0.0
万柏林区,2010,6,4,0,0.0
万柏林区,2010,7,1,0,0.0
万柏林区,2010,9,1,0,0.0
万柏林区,2010,10,2,0,0.0
万柏林区,2011,8,1,0,0.0
万柏林区,2011,10,2,0,0.0
万柏林区,2012,3,3,0,0.0
万柏林区,2012,4,5,0,0.0
万柏林区,2012,7,2,0,0.0
万柏林区,2012,8,1,0,0.0
万柏林区,2013,3,7,0,0.0
万柏林区,2013,4,4,0,0.0
万柏林区,2013,6,2,0,0.0
万柏林区,2013,7,2,0,0.0
万柏林区,2013,8,2,0,0.0
万柏林区,2014,3,1,0,0.0
万柏林区,2014,4,1,0,0.0
万柏林区,2014,5,2,0,0.0
万柏林区,2014,6,1,0,0.0
万柏林区,2014,7,5,0,0.0
万柏林区,2015,5,6,0,0.0
万柏林区,2015,6,4,0,0.0
万柏林区,2015,7,4,0,0.0
万柏林区,2015,8,3,0,0.0
万柏林区,2016,3,1,0,0.0
万柏林区,2016,5,3,0,0.0
万柏林区,2016,6,3,0,0.0
万柏林区,2017,5,1,0,0.0
万柏林区,2017,6,2,0,0.0
万柏林区,2017,7,4,0,0.0
万柏林区,2017,8,1,0,0.0
万柏林区,2018,3,1,0,0.0
万柏林区,2018,4,1,0,0.0
万柏林区,2018,5,1,0,0.0
万柏林区,2018,8,2,0,0.0
万柏林区,2019,3,4,0,0.0
万源市,2010,3,8,0,0.0
万源市,2010,12,1,0,0.0
万源市,2011,3,9,0,0.0
万源市,2012,3,3,0,0.0
万源市,2012,4,2,0,0.0
万源市,2013,3,2,0,0.0
万源市,2013,6,1,0,0.0
万源市,2013,7,1,0,0.0
万源市,2013,8,1,0,0.0
万源市,2014,1,2,0,0.0
万源市,2014,3,3,0,0.0
万源市,2014,7,3,0,0.0
万源市,2014,8,1,0,0.0
万源市,2015,4,3,0,0.0
万源市,2015,7,4,0,0.0
万源市,2016,2,4,0,0.0
万源市,2016,8,3,0,0.0
万源市,2017,3,2,0,0.0
万源市,2017,8,1,0,0.0
万源市,2018,4,1,0,0.0
万源市,2018,6,1,0,0.0
万源市,2018,7,1,0,0.0
万源市,2018,8,4,0,0.0
万源市,2019,5,1,0,0.0
万源市,2019,6,1,0,0.0
万源市,2019,8,3,0,0.0
万源市,2019,9,1,0,0.0
万秀区,2010,2,3,0,0.0
万秀区,2010,3,2,0,0.0
万秀区,2010,5,2,0,0.0
万秀区,2010,9,1,0,0.0
万秀区,2010,12,1,0,0.0
万秀区,2011,1,1,0,0.0
万秀区,2011,2,1,0,0.0
万秀区,2011,4,4,0,0.0
万秀区,2011,5,1,0,0.0
万秀区,2011,6,2,0,0.0
万秀区,2011,7,1,0,0.0
万秀区,2011,11,2,0,0.0
万秀区,2011,12,1,0,0.0
万秀区,2012,1,2,0,0.0
万秀区,2012,4,3,0,0.0
万秀区,2012,5,2,0,0.0
万秀区,2012,10,2,0,0.0
万秀区,2012,11,2,0,0.0
万秀区,2013,1,1,0,0.0
万秀区,2013,3,5,0,0.0
万秀区,2013,10,2,0,0.0
万秀区,2013,12,1,0,0.0
万秀区,2014,1,6,0,0.0
万秀区,2014,4,2,0,0.0
万秀区,2014,6,2,0,0.0
万秀区,2014,7,1,0,0.0
万秀区,2014,8,2,0,0.0
万秀区,2014,9,1,0,0.0
万秀区,2014,10,1,0,0.0
万秀区,2014,11,1,0,0.0
万秀区,2014,12,6,0,0.0
万秀区,2015,1,1,0,0.0
万秀区,2015,2,2,0,0.0
万秀区,2015,4,11,0,0.0
万秀区,2015,7,1,0,0.0
万秀区,2015,12,2,0,0.0
万秀区,2016,2,7,0,0.0
万秀区,2016,6,2,0,0.0
万秀区,2016,8,1,0,0.0
万秀区,2016,12,2,0,0.0
万秀区,2017,1,3,0,0.0
万秀区,2017,2,6,0,0.0
万秀区,2017,3,1,0,0.0
万秀区,2017,5,3,0,0.0
万秀区,2017,7,1,0,0.0
万秀区,2017,12,3,0,0.0
万秀区,2018,1,2,0,0.0
万秀区,2018,3,3,0,0.0
万秀区,2018,4,1,0,0.0
万秀区,2018,5,2,0,0.0
万秀区,2018,9,1,0,0.0
万秀区,2018,10,3,0,0.0
万秀区,2018,11,2,0,0.0
万秀区,2019,1,2,0,0.0
万秀区,2019,2,1,0,0.0
万秀区,2019,5,4,0,0.0
万秀区,2019,9,2,0,0.0
万秀区,2019,11,3,0,0.0
万秀区,2019,12,6,0,0.0
万荣县,2010,3,1,0,0.0
万荣县,2010,6,1,0,0.0
万荣县,2010,11,1,0,0.0
万荣县,2011,3,3,0,0.0
万荣县,2011,5,1,0,0.0
万荣县,2011,6,1,0,0.0
万荣县,2012,3,1,0,0.0
万荣县,2012,11,3,0,0.0
万荣县,2013,2,2,0,0.0
万荣县,2013,3,5,0,0.0
万荣县,2013,10,5,0,0.0
万荣县,2013,11,3,0,0.0
万荣县,2013,12,1,0,0.0
万荣县,2014,1,2,0,0.0
万荣县,2014,3,2,0,0.0
万荣县,2014,5,1,0,0.0
万荣县,2014,8,1,0,0.0
万荣县,2014,11,1,0,0.0
万荣县,2014,12,1,0,0.0
万荣县,2015,3,2,0,0.0
万荣县,2015,5,1,0,0.0
万荣县,2015,7,2,0,0.0
万荣县,2015,9,1,0,0.0
万荣县,2016,1,1,0,0.0
万荣县,2016,2,7,0,0.0
万荣县,2016,3,1,0,0.0
万荣县,2016,4,1,0,0.0
万荣县,2016,5,1,0,0.0
万荣县,2016,11,1,0,0.0
万荣县,2017,1,3,0,0.0
万荣县,2017,2,5,0,0.0
万荣县,2017,3,3,0,0.0
万荣县,2017,8,1,0,0.0
万荣县,2017,11,2,0,0.0
万荣县,2018,2,5,0,0.0
万荣县,2018,3,4,0,0.0
万荣县,2018,5,1,0,0.0
万荣县,2018,7,1,0,0.0
万荣县,2018,8,2,0,0.0
万荣县,2018,11,1,0,0.0
万荣县,2018,12,1,0,0.0
万荣县,2019,1,2,0,0.0
万荣县,2019,2,1,0,0.0
万荣县,2019,3,3,0,0.0
万荣县,2019,4,1,0,0.0
万荣县,2019,5,3,0,0.0
万荣县,2019,6,1,0,0.0
万荣县,2019,8,1,0,0.0
万荣县,2019,11,1,0,0.0
万载县,2010,1,1,0,0.0
万载县,2010,2,10,0,0.0
万载县,2010,3,4,0,0.0
万载县,2010,5,6,0,0.0
万载县,2010,6,1,0,0.0
万载县,2010,7,1,0,0.0
万载县,2010,8,5,0,0.0
万载县,2010,12,1,0,0.0
万载县,2011,2,5,0,0.0
万载县,2011,3,1,0,0.0
万载县,2011,4,1,0,0.0
万载县,2011,5,1,0,0.0
万载县,2011,6,1,0,0.0
万载县,2011,7,1,0,0.0
万载县,2011,8,1,0,0.0
万载县,2011,11,5,0,0.0
万载县,2012,3,10,0,0.0
万载县,2012,4,16,0,0.0
万载县,2012,7,1,0,0.0
万载县,2013,1,1,0,0.0
万载县,2013,3,6,0,0.0
万载县,2013,5,2,0,0.0
万载县,2013,6,1,0,0.0
万载县,2013,7,1,0,0.0
万载县,2013,8,1,0,0.0
万载县,2013,10,7,0,0.0
万载县,2013,11,2,0,0.0
万载县,2013,12,1,0,0.0
万载县,2014,1,32,0,0.0
万载县,2014,2,2,0,0.0
万载县,2014,4,2,0,0.0
万载县,2014,5,1,0,0.0
万载县,2014,6,1,0,0.0
万载县,2015,1,3,0,0.0
万载县,2015,2,5,0,0.0
万载县,2015,4,5,0,0.0
万载县,2015,8,1,0,0.0
万载县,2016,2,1,0,0.0
万载县,2016,3,7,0,0.0
万载县,2016,10,1,0,0.0
万载县,2016,12,1,0,0.0
万载县,2017,2,18,0,0.0
万载县,2017,3,5,0,0.0
万载县,2018,2,6,0,0.0
万载县,2018,3,7,0,0.0
万载县,2018,4,5,0,0.0
万载县,2019,4,1,0,0.0
万载县,2019,6,1,0,0.0
万载县,2019,7,2,0,0.0
万载县,2019,8,1,0,0.0
万载县,2019,9,2,0,0.0
万载县,2019,11,8,0,0.0
万载县,2019,12,23,0,0.0
三元区,2010,1,2,0,0.0
三元区,2010,2,3,0,0.0
三元区,2010,3,4,0,0.0
三元区,2010,4,1,0,0.0
三元区,2010,6,1,0,0.0
三元区,2010,8,5,0,0.0
三元区,2010,9,1,0,0.0
三元区,2010,11,5,0,0.0
三元区,2010,12,9,0,0.0
三元区,2011,1,2,0,0.0
三元区,2011,2,12,0,0.0
三元区,2011,3,1,0,0.0
三元区,2011,5,1,0,0.0
三元区,2011,7,2,0,0.0
三元区,2011,8,2,0,0.0
三元区,2011,10,1,0,0.0
三元区,2011,12,7,0,0.0
三元区,2012,2,1,0,0.0
三元区,2012,3,1,0,0.0
三元区,2012,8,4,0,0.0
三元区,2012,11,2,0,0.0
三元区,2012,12,1,0,0.0
三元区,2013,1,4,0,0.0
三元区,2013,3,2,0,0.0
三元区,2013,4,4,0,0.0
三元区,2013,5,1,0,0.0
三元区,2013,7,2,0,0.0
三元区,2013,8,2,0,0.0
三元区,2013,10,1,0,0.0
三元区,2013,11,5,0,0.0
三元区,2013,12,4,0,0.0
三元区,2014,1,5,0,0.0
三元区,2014,2,1,0,0.0
三元区,2014,6,1,0,0.0
三元区,2014,7,4,0,0.0
三元区,2014,9,1,0,0.0
三元区,2014,10,1,0,0.0
三元区,2015,1,6,0,0.0
三元区,2015,2,2,0,0.0
三元区,2015,4,1,0,0.0
三元区,2015,8,1,0,0.0
三元区,2015,9,1,0,0.0
三元区,2016,3,1,0,0.0
三元区,2016,6,1,0,0.0
三元区,2016,7,4,0,0.0
三元区,2016,12,3,0,0.0
三元区,2017,2,4,0,0.0
三元区,2017,3,1,0,0.0
三元区,2017,5,1,0,0.0
三元区,2017,7,2,0,0.0
三元区,2017,8,12,0,0.0
三元区,2017,9,2,0,0.0
三元区,2018,1,5,0,0.0
三元区,2018,2,2,0,0.0
三元区,2018,3,4,0,0.0
三元区,2018,4,6,0,0.0
三元区,2018,5,2,0,0.0
三元区,2018,7,5,0,0.0
三元区,2018,8,3,0,0.0
三元区,2018,9,1,0,0.0
三元区,2019,6,1,0,0.0
三元区,2019,7,3,0,0.0
三元区,2019,8,3,0,0.0
三元区,2019,9,1,0,0.0
三元区,2019,12,1,0,0.0
三原县,2010,1,1,0,0.0
三原县,2010,7,1,0,0.0
三原县,2011,5,1,0,0.0
三原县,2011,6,2,0,0.0
三原县,2012,4,1,0,0.0
三原县,2012,6,1,0,0.0
三原县,2012,7,2,0,0.0
三原县,2013,1,2,0,0.0
三原县,2013,3,1,0,0.0
三原县,2013,5,2,0,0.0
三原县,2013,6,1,0,0.0
三原县,2013,7,1,0,0.0
三原县,2013,9,1,0,0.0
三原县,2014,1,1,0,0.0
三原县,2014,3,1,0,0.0
三原县,2015,6,1,0,0.0
三原县,2015,7,1,0,0.0
三原县,2016,1,1,0,0.0
三原县,2016,3,4,0,0.0
三原县,2016,4,1,0,0.0
三原县,2016,5,4,0,0.0
三原县,2016,6,1,0,0.0
三原县,2016,7,1,0,0.0
三原县,2016,8,1,0,0.0
三原县,2017,6,1,0,0.0
三原县,2018,4,1,0,0.0
三原县,2018,5,1,0,0.0
三原县,2018,7,1,0,0.0
三原县,2019,3,3,0,0.0
三原县,2019,4,2,0,0.0
三原县,2019,5,4,0,0.0
三原县,2019,7,5,0,0.0
三台县,2012,12,1,0,0.0
三台县,2013,5,1,0,0.0
三台县,2014,1,2,0,0.0
三台县,2014,7,1,0,0.0
三台县,2017,1,1,0,0.0
三台县,2018,2,2,0,0.0
三台县,2018,3,3,0,0.0
三台县,2018,4,2,0,0.0
三台县,2019,4,2,0,0.0
三山区,2010,3,2,0,0.0
三山区,2010,11,2,0,0.0
三山区,2011,5,1,0,0.0
三山区,2011,9,3,0,0.0
三山区,2011,10,1,0,0.0
三山区,2012,3,2,0,0.0
三山区,2012,4,6,0,0.0
三山区,2012,5,5,0,0.0
三山区,2012,6,2,0,0.0
三山区,2012,7,2,0,0.0
三山区,2012,8,5,0,0.0
三山区,2012,9,10,0,0.0
三山区,2012,10,3,0,0.0
三山区,2013,2,1,0,0.0
三山区,2013,3,5,0,0.0
三山区,2013,4,3,0,0.0
三山区,2013,5,7,0,0.0
三山区,2013,6,6,0,0.0
三山区,2013,7,3,0,0.0
三山区,2013,8,5,0,0.0
三山区,2013,9,13,0,0.0
三山区,2013,10,9,0,0.0
三山区,2013,11,6,0,0.0
三山区,2013,12,3,0,0.0
三山区,2014,1,1,0,0.0
三山区,2014,3,3,0,0.0
三山区,2014,4,4,0,0.0
三山区,2014,5,6,0,0.0
三山区,2014,6,6,0,0.0
三山区,2014,7,9,0,0.0
三山区,2014,8,4,0,0.0
三山区,2014,9,4,0,0.0
三山区,2014,10,9,0,0.0
三山区,2014,11,3,0,0.0
三山区,2014,12,1,0,0.0
三山区,2015,1,1,0,0.0
三山区,2015,3,2,0,0.0
三山区,2015,4,9,0,0.0
三山区,2015,5,3,0,0.0
三山区,2015,6,2,0,0.0
三山区,2015,7,5,0,0.0
三山区,2015,8,12,0,0.0
三山区,2015,9,9,0,0.0
三山区,2015,10,9,0,0.0
三山区,2015,12,1,0,0.0
三山区,2016,2,4,0,0.0
三山区,2016,3,6,0,0.0
三山区,2016,4,8,0,0.0
三山区,2016,5,9,0,0.0
三山区,2016,6,3,0,0.0
三山区,2016,7,4,0,0.0
三山区,2016,8,9,0,0.0
三山区,2016,9,6,0,0.0
三山区,2016,11,2,0,0.0
三山区,2016,12,3,0,0.0
三山区,2017,1,1,0,0.0
三山区,2017,2,8,0,0.0
三山区,2017,3,7,0,0.0
三山区,2017,4,7,0,0.0
三山区,2017,5,4,0,0.0
三山区,2017,7,3,0,0.0
三山区,2017,8,6,0,0.0
三山区,2017,9,4,0,0.0
三山区,2017,10,5,0,0.0
三山区,2017,11,1,0,0.0
三山区,2017,12,4,0,0.0
三山区,2018,2,2,0,0.0
三山区,2018,3,9,0,0.0
三山区,2018,4,9,0,0.0
三山区,2018,5,3,0,0.0
三山区,2018,6,6,0,0.0
三山区,2018,7,5,0,0.0
三山区,2018,8,9,0,0.0
三山区,2018,9,5,0,0.0
三山区,2018,10,4,0,0.0
三山区,2018,11,2,0,0.0
三山区,2019,1,1,0,0.0
三山区,2019,2,1,0,0.0
三山区,2019,3,7,0,0.0
三山区,2019,4,3,0,0.0
三山区,2019,5,4,0,0.0
三山区,2019,6,6,0,0.0
