county_name,sen_slope,mk_trend,mk_p
巴彦县,9.2,no-trend,1.0
北林区,4.0,no-trend,0.8580276569875211
望奎县,3.5,no-trend,0.7205147871362554
木兰县,2.0,no-trend,0.7205147871362554
穆棱市,1.8,increasing,0.0396686704630666
拜泉县,1.0,no-trend,0.788446734264471
大同区,1.0,no-trend,0.2449287782360305
庆安县,1.0,no-trend,0.788446734264471
宁安市,0.8,no-trend,0.3251794800983281
尚志市,0.6666666666666666,no-trend,0.3710933695226979
