county_name,sen_slope,mk_trend,mk_p
宝清县,-45.4,no-trend,0.3710933695226976
集贤县,-34.0,no-trend,0.2831308706623467
富锦市,-30.0,no-trend,0.2831308706623467
嫩江市,-23.0,no-trend,0.1524062839567492
友谊县,-22.6,decreasing,0.0318231273864901
甘南县,-19.0,decreasing,0.0200446686226274
萝北县,-18.0,no-trend,0.2449287782360305
肇东市,-17.0,no-trend,0.2831308706623467
虎林市,-15.125,no-trend,0.3710933695226976
双城区,-14.666666666666666,no-trend,0.3710933695226976
