date,pm25_mean,pm25_max,pm25_std,pm25_count,fire_count,brightness_mean,brightness_max,confidence_mean
2010-04-07,35.01446842200882,59.89808286825591,7.094053623663465,8982,533,310.16022514071295,343.1,53.930581613508444
2010-05-02,31.791941214442392,81.50187374580058,11.044201836882907,8982,293,315.59351535836174,347.7,62.18088737201365
2010-05-04,36.3164321467669,126.4556188323148,19.904534851679102,8982,415,317.00506024096387,358.1,63.69638554216868
2010-10-07,62.30050080285529,188.1211265361347,40.17941435130535,8982,300,308.58299999999997,346.9,56.35666666666667
2010-10-09,53.23457366350302,126.26084124937285,19.916321511390912,8982,614,309.1799674267101,371.0,57.27198697068404
2010-10-19,43.82499824639745,211.3540379958764,27.71309670825923,8982,448,312.45691964285714,373.6,58.924107142857146
2010-10-20,48.630236500950076,176.99993586422974,24.373913030308163,8982,510,312.25333333333333,381.3,60.02156862745098
2010-10-21,64.55393729597915,170.13682273931963,31.78925669108229,8982,1508,315.116976127321,397.8,60.79774535809018
2010-10-22,79.74823685680595,218.85447937467788,41.00077006190848,8982,295,310.39830508474574,405.5,53.62033898305085
2010-10-26,21.45474873216536,45.00422000777197,3.9281321463249825,8982,371,315.17358490566033,395.5,61.99460916442049
2010-10-27,36.164270795640455,132.71851590921142,12.228177424648939,8982,301,312.2554817275747,386.2,60.714285714285715
2010-10-28,38.84574935538728,135.98124804228306,18.879882949100974,8982,612,310.0,388.6,57.43300653594771
2010-10-30,54.481794133269055,243.58673652531496,32.801464563629146,8982,1087,307.41554737810486,381.6,54.565777368905245
2010-10-31,39.49458826582025,226.50652556653552,27.234086431792864,8982,397,308.4690176322418,373.3,55.82367758186398
2011-04-03,31.23097720494847,54.73742174527107,6.852023816548684,8982,475,311.67431578947367,369.6,57.40842105263158
2011-04-04,39.38556502543599,94.71139891578744,11.606653413189772,8982,655,315.8920610687023,434.8,62.26412213740458
2011-04-05,47.985094144310835,115.7746454759267,9.613679607645983,8982,585,312.0488888888889,373.8,59.753846153846155
2011-04-08,28.405850787861276,51.25390718785942,3.5298195799252,8982,311,313.0061093247588,415.1,60.643086816720256
2011-04-12,31.12268951142081,69.84458688080096,7.514285987862205,8982,433,314.1799076212471,379.0,60.65357967667436
2011-04-13,37.46566657328432,103.84898040627483,10.208365015044661,8982,343,316.6192419825073,415.4,61.04373177842566
2011-10-05,49.547765276560455,138.01815946017564,22.099101864389,8982,481,310.6463617463617,411.4,59.50935550935551
2011-10-07,37.428209157917195,176.45049902449324,15.133613668635375,8982,610,307.39295081967214,388.2,53.708196721311474
2011-10-08,45.501768890558544,136.39939879518823,19.68783525182269,8982,832,310.48689903846156,424.3,58.52283653846154
