fire_date,fire_count,baseline_pm25,max_pm25_window,pm25_increase,increase_percentage
2010-04-07,533,35.01446842200882,50.44286665578699,15.428398233778175,44.06292292611373
2010-05-02,293,31.791941214442392,38.52018340297242,6.728242188530029,21.163357541292676
2010-05-04,415,36.3164321467669,38.52018340297242,2.2037512562055213,6.06819317299514
2010-10-07,300,62.30050080285529,62.30050080285529,0.0,0.0
2010-10-09,614,53.23457366350302,53.23457366350302,0.0,0.0
2010-10-19,448,43.82499824639745,79.74823685680595,35.9232386104085,81.96974340634799
2010-10-20,510,48.630236500950076,79.74823685680595,31.11800035585587,63.98899654795618
2010-10-21,1508,64.55393729597915,79.74823685680595,15.194299560826792,23.537370758906746
2010-10-22,295,79.74823685680595,79.74823685680595,0.0,0.0
2010-10-26,371,21.45474873216536,54.481794133269055,33.02704540110369,153.93815986103314
2010-10-27,301,36.164270795640455,54.481794133269055,18.3175233376286,50.65088534796822
2010-10-28,612,38.84574935538728,54.481794133269055,15.636044777881779,40.251623504112715
2010-10-30,1087,54.481794133269055,54.481794133269055,0.0,0.0
2010-10-31,397,39.49458826582025,58.769948175020865,19.275359909200617,48.80506610036512
2011-04-03,475,31.23097720494847,58.17811374140366,26.947136536455194,86.28336013829721
2011-04-04,655,39.38556502543599,58.17811374140366,18.792548715967676,47.71430523805123
2011-04-05,585,47.985094144310835,58.17811374140366,10.193019597092828,21.24205397292385
2011-04-08,311,28.405850787861276,37.46566657328432,9.05981578542304,31.894189169277016
2011-04-12,433,31.12268951142081,41.80998036274478,10.687290851323972,34.33922652283041
2011-04-13,343,37.46566657328432,41.80998036274478,4.344313789460465,11.59545308225817
2011-10-05,481,49.547765276560455,49.547765276560455,0.0,0.0
2011-10-07,610,37.428209157917195,45.501768890558544,8.07355973264135,21.570788221732347
2011-10-08,832,45.501768890558544,79.47423402833817,33.97246513777963,74.66185593683325
2011-10-10,1087,24.100404090668743,85.63369547443813,61.53329138376938,255.32057949017545
2011-10-11,506,29.13647749362382,85.63369547443813,56.49721798081431,193.90545062689228
2011-10-12,2218,41.58976140179776,85.63369547443813,44.04393407264037,105.90090586751124
2011-10-13,722,79.47423402833817,85.63369547443813,6.159461446099954,7.750262108727806
2011-10-14,392,85.63369547443813,85.63369547443813,0.0,0.0
2011-10-19,1798,66.99255796439358,144.15262424642694,77.16006628203336,115.17707134431825
2011-10-20,301,114.92753626225766,144.15262424642694,29.225087984169278,25.42914338429687
2011-10-21,929,122.427299087084,144.15262424642694,21.725325159342944,17.74549085158651
2011-10-22,592,144.15262424642694,144.15262424642694,0.0,0.0
2011-10-24,294,30.863652611481875,82.62659020887784,51.76293759739597,167.71487888682094
2011-10-25,363,34.86977001480393,102.91791251269552,68.04814249789159,195.14938718839215
2011-10-26,1136,56.21817136631325,129.195418017804,72.97724665149076,129.81077982059693
2011-10-28,379,82.62659020887784,129.195418017804,46.56882780892616,56.36058282352132
2011-10-29,1138,60.209749528432575,129.195418017804,68.98566848937142,114.57557792495821
2011-10-30,295,102.91791251269552,129.195418017804,26.27750550510848,25.532489790702854
2011-10-31,358,129.195418017804,129.195418017804,0.0,0.0
2011-11-02,1182,31.606656099792467,76.45406003709786,44.847403937305394,141.89227672711593
2011-11-03,335,53.8477228698604,76.45406003709786,22.606337167237463,41.98197428305861
2011-11-07,431,36.80372756508562,76.3422717749665,39.53854420988088,107.4308142835773
2011-11-08,426,38.54811263294732,76.3422717749665,37.79415914201918,98.04412346174445
2011-11-09,624,48.97067357524049,76.3422717749665,27.371598199726016,55.89385687675136
2011-11-10,524,46.5914520873854,76.3422717749665,29.750819687581107,63.85467366799696
2011-11-11,361,76.3422717749665,76.3422717749665,0.0,0.0
2012-03-25,331,25.015762740085556,49.77697875688244,24.761216016796887,98.98245467894216
2012-03-27,500,37.43640247628305,49.77697875688244,12.340576280599393,32.96410836596137
2012-04-03,381,26.191968011181427,42.11117892888371,15.919210917702284,60.77897968914107
2012-04-07,643,35.14548059804133,42.11117892888371,6.965698330842379,19.819613254145057
2012-04-14,443,34.52904393851901,56.77303926781569,22.24399532929668,64.42111565238649
2012-10-26,763,51.494643381977255,55.378790560590296,3.8841471786130413,7.542817900108935
2013-04-22,993,47.99171369124708,51.008606066345294,3.016892375098216,6.286277657237418
2013-04-29,419,51.3104708559219,51.3104708559219,0.0,0.0
2013-05-03,613,33.21813590239274,65.00984698695764,31.791711084564902,95.70588541747435
2013-05-04,310,39.85114278367543,65.00984698695764,25.158704203282213,63.13170073905181
2013-05-05,512,33.78460146749046,65.00984698695764,31.22524551946718,92.42448974724167
2013-05-06,462,39.157095742474795,65.00984698695764,25.852751244482846,66.02315813846134
2013-05-07,512,62.4458088675892,65.00984698695764,2.5640381193684405,4.106021149962611
2013-05-08,468,65.00984698695764,65.00984698695764,0.0,0.0
2013-10-06,309,57.180371500432976,62.27735867272495,5.096987172291975,8.913875580982156
2013-10-08,662,26.207728915719525,62.27735867272495,36.06962975700543,137.62974225275462
2013-10-09,508,43.38806295294337,62.27735867272495,18.88929571978158,43.535697226834046
2013-10-10,635,62.27735867272495,62.27735867272495,0.0,0.0
2013-10-13,559,23.43427018692641,92.29568719006171,68.8614170031353,293.84920654175926
2013-10-15,444,24.476698812934266,177.56660511480877,153.0899063018745,625.4516079634764
2013-10-17,1062,66.74638479247167,189.125086766662,122.37870197419034,183.3488096092261
2013-10-18,1302,92.29568719006171,189.125086766662,96.8293995766003,104.91216060529725
2013-10-19,372,126.54665137802087,189.125086766662,62.57843538864114,49.45088211121959
