date,pm25_mean,pm25_max,pm25_std,pm25_count,fire_count,brightness_mean,brightness_max,confidence_mean
2010-02-07,75.14723779823896,125.47398633602816,19.800912432716377,8982,0,0.0,0.0,0.0
2010-02-13,68.99267793056045,141.6054073590568,24.54806606911945,8982,0,0.0,0.0,0.0
2010-02-21,67.51838213588452,118.8503297628829,13.265356438599774,8982,2,305.4,307.5,58.5
2010-02-22,75.43396322454144,131.76321830167873,13.755768553466897,8982,0,0.0,0.0,0.0
2010-02-23,67.98730136566603,117.34480484841926,12.277521087184526,8982,1,300.8,300.8,41.0
2010-10-22,79.74823685680595,218.85447937467788,41.00077006190848,8982,295,310.39830508474574,405.5,53.62033898305085
2010-11-18,78.05941367710665,151.46682783655865,23.02949107614376,8982,0,0.0,0.0,0.0
2010-11-19,67.80883416605572,129.43789459567353,22.150001186793865,8982,0,0.0,0.0,0.0
2010-11-20,65.79856931948456,159.80577014498877,20.486955603085242,8982,0,0.0,0.0,0.0
2010-12-04,67.1332951358405,124.70368500141043,18.275883074455,8982,0,0.0,0.0,0.0
2010-12-09,69.46930240331366,142.87742513765014,17.1446752987215,8982,0,0.0,0.0,0.0
2010-12-10,71.60454672468217,119.53698616792806,12.801972720871849,8982,0,0.0,0.0,0.0
2010-12-17,83.96233005559674,197.560726007704,35.62315612722061,8982,0,0.0,0.0,0.0
2010-12-18,97.59941498207365,206.52875935721772,30.926652954691967,8982,0,0.0,0.0,0.0
2010-12-19,103.28724996750738,225.4260095644239,38.095820570494055,8982,0,0.0,0.0,0.0
2010-12-20,79.41273290928345,153.0356837519404,17.999591186354102,8982,0,0.0,0.0,0.0
2010-12-21,80.27295559039311,178.43766020226153,18.544206876618464,8982,0,0.0,0.0,0.0
2010-12-22,78.1902615032993,126.18655949531382,12.505352642067333,8982,0,0.0,0.0,0.0
2010-12-23,66.01679085724889,122.13506613464637,15.708139447956544,8982,0,0.0,0.0,0.0
2010-12-25,81.50076241700243,142.94189705616174,20.025859541551043,8982,0,0.0,0.0,0.0
2010-12-26,73.39775101005712,130.75771965154928,12.394629764620559,8982,0,0.0,0.0,0.0
2010-12-27,76.9944768402218,146.95984820986544,16.13624795283558,8982,0,0.0,0.0,0.0
2010-12-28,90.319120935542,220.67596408918263,22.300288983452035,8982,0,0.0,0.0,0.0
2010-12-29,89.9817936817367,203.71625728386417,19.56752241430017,8982,0,0.0,0.0,0.0
2010-12-30,73.90511099290667,164.23304786380152,20.31562688831031,8982,0,0.0,0.0,0.0
2010-12-31,71.70406301970216,183.8605340499392,22.003555940766557,8982,0,0.0,0.0,0.0
2011-01-01,77.4150126139516,165.77077731839034,32.454732634731826,8982,0,0.0,0.0,0.0
2011-01-02,65.34706764826188,247.42467806525352,37.22176401340727,8982,0,0.0,0.0,0.0
2011-01-08,75.54710021270466,222.56651136395664,34.3503033009891,8982,0,0.0,0.0,0.0
2011-01-10,74.85734996481193,192.24044224142372,29.66390380194895,8982,0,0.0,0.0,0.0
2011-01-11,82.80506135940037,230.33416501207464,35.98160326851931,8982,0,0.0,0.0,0.0
2011-01-12,67.09359790745916,166.94980101842427,31.271759635559878,8982,0,0.0,0.0,0.0
2011-01-13,68.50639766304054,220.7932198283475,36.25806695920548,8982,0,0.0,0.0,0.0
2011-01-22,69.27959918835653,187.19156162065025,27.623965829515654,8982,0,0.0,0.0,0.0
2011-01-23,81.17914396442596,244.69905191497273,32.71477125888719,8982,0,0.0,0.0,0.0
2011-01-24,74.68523413818566,192.329919617969,31.837827443466406,8982,0,0.0,0.0,0.0
2011-01-25,73.59614987751573,188.06278613333632,26.838510498176525,8982,0,0.0,0.0,0.0
2011-02-21,88.14031506018598,180.6799737207971,32.367760298315005,8982,0,0.0,0.0,0.0
2011-02-22,83.53217048772022,159.47115728743069,22.743826007522884,8982,3,309.5,314.5,68.0
2011-02-26,66.63823544170268,125.2625480632848,22.537301924012876,8982,0,0.0,0.0,0.0
2011-10-13,79.47423402833817,262.4699642329253,43.01467766133852,8982,722,306.90138504155124,354.0,52.34903047091413
2011-10-14,85.63369547443813,244.4431570223724,46.96665397590598,8982,392,306.74387755102043,377.5,50.04081632653061
2011-10-19,66.99255796439358,208.79835885755776,31.804101790026802,8982,1798,306.96329254727476,385.6,52.760289210233594
2011-10-20,114.92753626225766,290.6414453182418,57.43510924572113,8982,301,308.28039867109635,394.9,51.627906976744185
2011-10-21,122.427299087084,394.90995925854776,75.97878962829647,8982,929,309.0912809472551,378.9,54.593110871905274
2011-10-22,144.15262424642694,465.3943133539736,92.95588630081089,8982,592,306.3347972972973,334.2,50.810810810810814
2011-10-23,76.84414043626268,303.17959621085737,52.3540762956883,8982,62,306.68870967741935,332.8,53.483870967741936
2011-10-27,78.81477983188255,230.21565933808364,41.69090117651333,8982,172,313.47558139534885,352.9,61.18604651162791
2011-10-28,82.62659020887784,307.9394093104314,58.82892744927922,8982,379,311.36200527704483,408.2,56.21899736147757
2011-10-30,102.91791251269552,302.9891724607658,51.18347310863993,8982,295,307.67694915254236,356.5,54.60677966101695
2011-10-31,129.195418017804,421.3078210142707,93.8014922596665,8982,358,305.8153631284916,336.6,52.30446927374302
2011-11-01,81.90217652245704,226.63147535991803,39.41792080686851,8982,54,311.5907407407408,377.2,55.24074074074074
2011-11-04,76.45406003709786,176.01487148373695,31.8666869669912,8982,2,305.6,307.3,61.0
2011-11-11,76.3422717749665,246.4172190971228,38.78152440313439,8982,361,307.697783933518,383.9,56.00831024930748
