lag_days,correlation,p_value
0,0.18784810139214592,6.703603284597361e-30
1,0.2509505987159006,1.0027041869163306e-52
2,0.2426809862179475,2.6214923481983022e-49
3,0.20450901123208148,3.270435046333353e-35
4,0.1752662249716122,3.7018005854039585e-26
5,0.1611721072578516,2.583169863419614e-22
6,0.16410284305811856,4.443926427064998e-23
7,0.166902128243114,8.033784289839526e-24
